Time,Heart Rate
16:03:00,73
16:03:05,71
16:03:10,71
16:03:20,72
16:03:35,72
16:03:50,72
16:03:55,73
16:04:00,72
16:04:10,73
16:04:15,75
16:04:20,77
16:04:25,78
16:04:30,79
16:04:35,78
16:04:40,74
16:04:45,72
16:04:50,71
16:04:55,72
16:05:00,76
16:05:05,77
16:05:10,76
16:05:25,76
16:05:40,76
16:05:50,77
16:05:55,80
16:06:00,83
16:06:10,82
16:06:15,79
16:06:20,78
16:06:35,78
16:06:40,75
16:06:45,74
16:06:50,72
16:07:05,73
16:07:10,74
16:07:25,75
16:07:40,75
16:07:50,75
16:08:00,76
16:08:10,77
16:08:15,79
16:08:20,80
16:08:25,81
16:08:35,82
16:08:40,83
16:08:45,85
16:08:50,84
16:09:05,84
16:09:15,85
16:09:30,84
16:09:35,83
16:09:50,83
16:10:00,82
16:10:15,81
16:10:20,80
16:10:25,80
16:10:30,79
16:10:35,77
16:10:45,76
16:11:00,76
16:11:05,75
16:11:10,76
16:11:20,76
16:11:25,77
16:11:30,78
16:11:35,77
16:11:40,76
16:11:46,75
16:11:51,73
16:11:56,72
16:12:01,71
16:12:06,71
16:12:11,70
16:12:16,69
16:12:21,68
16:12:26,66
16:12:31,66
16:12:46,66
16:12:51,67
16:13:06,66
16:13:21,67
16:13:26,69
16:13:31,70
16:13:36,72
16:13:41,74
16:13:46,76
16:13:56,75
16:14:11,75
16:14:26,76
16:14:31,77
16:14:41,79
16:14:46,80
16:14:56,78
16:15:01,77
16:15:06,77
16:15:21,77
16:15:36,77
16:15:46,79
16:15:51,80
16:15:56,79
16:16:11,79
16:16:16,80
16:16:21,78
16:16:26,77
16:16:36,79
16:16:41,80
16:16:46,82
16:16:51,83
16:17:01,84
16:17:16,84
16:17:21,83
16:17:26,82
16:17:31,81
16:17:36,82
16:17:51,82
16:17:56,83
