Time,Heart Rate
13:20:17,87
13:20:27,86
13:20:32,87
13:20:37,92
13:20:42,85
13:20:47,84
13:21:02,84
13:21:17,84
13:21:22,83
13:21:32,84
13:21:42,87
13:21:47,88
13:21:57,89
13:22:02,87
13:22:07,80
13:22:12,75
13:22:17,73
13:22:27,76
13:22:32,77
13:22:47,77
13:22:52,76
13:23:02,73
13:23:17,75
13:23:22,75
13:23:37,76
13:23:42,76
13:23:47,75
13:23:52,74
13:23:57,73
13:24:12,72
13:24:17,71
13:24:22,70
13:24:37,70
13:24:42,71
13:24:47,74
13:24:52,76
13:24:57,75
13:25:12,77
13:25:17,78
13:25:22,79
13:25:27,77
13:25:32,76
13:25:42,77
13:25:47,76
13:26:02,75
13:26:12,73
13:26:17,73
13:26:22,75
13:26:27,78
13:26:42,79
13:26:47,78
13:26:52,75
13:26:57,72
13:27:02,71
13:27:08,71
13:27:23,71
13:27:28,72
13:27:43,72
13:27:58,71
13:28:03,72
13:28:08,73
13:28:18,78
13:28:33,77
13:28:38,76
13:28:48,74
13:28:53,73
13:29:08,77
13:29:13,76
13:29:18,75
13:29:33,75
13:29:48,75
13:30:03,75
13:30:18,75
13:30:23,75
13:30:38,75
13:30:48,75
13:30:53,76
13:30:58,79
