Time,Heart Rate
10:21:04,100
10:21:09,98
10:21:24,100
10:21:29,99
10:21:39,103
10:21:44,106
10:21:49,109
10:21:54,108
10:22:04,105
10:22:09,106
10:22:14,105
10:22:24,106
10:22:29,107
10:22:34,107
10:22:44,112
10:22:49,115
10:22:54,114
10:22:59,115
10:23:05,114
10:23:10,111
10:23:15,109
10:23:20,105
10:23:25,100
10:23:30,100
10:23:35,99
10:23:40,96
10:23:45,94
10:23:50,93
10:23:55,91
10:24:00,90
10:24:15,90
10:24:20,89
10:24:25,87
10:24:30,89
10:24:35,92
10:24:40,96
10:24:45,104
10:24:50,102
10:25:00,101
10:25:10,101
10:25:20,101
10:25:25,102
10:25:30,101
10:25:35,99
10:25:40,99
10:25:50,98
10:25:55,99
10:26:05,101
10:26:15,99
10:26:20,98
10:26:30,99
10:26:35,98
10:26:45,99
10:26:55,98
10:27:00,89
10:27:10,90
10:27:15,92
10:27:30,93
10:27:35,92
10:27:40,93
10:27:55,91
10:28:10,91
10:28:20,92
10:28:35,92
10:28:40,93
10:28:45,94
10:28:50,95
10:29:00,93
10:29:15,92
10:29:30,92
10:29:35,92
10:29:40,95
10:29:45,99
10:29:50,102
10:29:55,104
10:30:05,103
10:30:10,104
10:30:15,107
10:30:25,106
10:30:35,108
10:30:40,109
10:30:45,111
10:30:50,110
10:30:55,109
10:31:05,105
10:31:10,97
10:31:15,93
10:31:25,95
10:31:40,97
10:31:45,107
10:31:50,111
10:31:55,112
10:32:00,111
10:32:05,107
10:32:10,105
10:32:20,107
10:32:25,107
10:32:30,106
10:32:35,105
10:32:40,104
10:32:50,103
10:33:00,103
10:33:05,103
10:33:15,104
10:33:20,103
10:33:25,99
10:33:30,96
10:33:35,98
10:33:45,99
10:33:50,100
10:33:55,101
10:34:00,102
10:34:10,105
10:34:15,106
10:34:20,106
10:34:25,107
10:34:35,106
10:34:40,105
10:34:50,105
10:34:55,107
10:35:00,109
10:35:05,110
10:35:10,111
10:35:15,111
10:35:20,110
10:35:25,109
10:35:30,108
10:35:35,107
10:35:40,108
10:35:55,108
10:36:10,105
10:36:15,106
10:36:20,110
10:36:25,113
10:36:30,117
10:36:35,118
10:36:40,117
10:36:45,116
10:36:50,115
10:36:55,114
10:37:00,111
10:37:05,112
10:37:10,113
10:37:20,112
10:37:25,109
10:37:30,106
10:37:35,108
10:37:40,115
10:37:45,116
10:37:50,116
10:37:55,117
10:38:00,119
10:38:05,120
10:38:10,117
10:38:15,119
10:38:20,106
10:38:25,92
10:38:30,95
10:38:35,102
10:38:40,103
10:38:45,111
10:38:50,110
10:39:05,110
10:39:15,110
10:39:20,109
10:39:25,113
10:39:35,117
10:39:40,118
10:39:50,117
10:39:55,116
10:40:10,116
10:40:15,119
10:40:21,120
10:40:31,122
10:40:36,125
10:40:41,121
10:40:46,120
10:40:51,119
10:40:56,121
10:41:01,122
10:41:11,123
10:41:16,121
10:41:31,118
10:41:36,116
10:41:41,112
10:41:46,111
10:41:51,109
