Time,Heart Rate
15:25:14,89
15:25:19,87
15:25:24,88
15:25:34,89
15:25:39,90
15:25:44,91
15:25:49,90
15:25:54,89
15:25:59,88
15:26:04,89
15:26:19,88
15:26:34,88
15:26:44,89
15:26:59,90
15:27:04,92
15:27:14,93
15:27:24,94
15:27:34,95
15:27:44,93
15:27:49,90
15:27:54,90
15:27:59,91
15:28:04,92
15:28:09,93
15:28:14,92
15:28:24,94
15:28:29,93
15:28:39,92
15:28:44,89
15:28:59,89
15:29:04,90
15:29:09,91
15:29:14,92
15:29:19,90
15:29:29,91
15:29:34,90
15:29:39,89
15:29:44,88
15:29:54,89
15:30:04,88
15:30:19,91
15:30:29,91
15:30:34,91
15:30:44,92
15:30:54,93
15:30:59,93
15:31:04,94
15:31:09,92
15:31:19,94
15:31:24,96
15:31:29,96
15:31:34,97
15:31:44,98
15:31:49,96
15:31:54,94
15:31:59,96
15:32:04,93
15:32:14,94
15:32:19,93
15:32:24,96
15:32:29,98
15:32:34,96
15:32:39,94
15:32:44,93
15:32:49,94
15:32:54,100
15:32:59,101
15:33:04,104
15:33:09,106
15:33:14,105
15:33:19,102
15:33:24,101
15:33:34,101
15:33:39,103
15:33:44,106
15:33:49,104
15:33:59,106
15:34:09,109
15:34:14,108
15:34:19,106
15:34:24,110
15:34:39,106
15:34:44,103
15:34:49,96
15:34:54,92
15:35:04,93
15:35:09,94
15:35:19,92
15:35:24,97
15:35:29,100
15:35:39,101
15:35:44,103
15:35:49,105
15:35:54,104
15:36:04,105
15:36:09,105
15:36:14,103
15:36:19,99
15:36:24,97
15:36:29,96
15:36:34,95
15:36:39,93
15:36:44,91
15:36:49,93
15:36:54,94
15:37:04,92
15:37:09,91
15:37:19,92
15:37:24,94
15:37:29,95
15:37:39,94
15:37:49,95
15:37:54,94
15:38:04,95
15:38:19,93
15:38:34,94
15:38:39,93
15:38:44,91
15:38:49,90
15:38:54,89
15:38:59,91
15:39:04,92
15:39:09,95
15:39:14,100
15:39:19,101
15:39:24,100
15:39:29,99
15:39:34,98
15:39:39,97
15:39:49,100
15:39:54,104
15:39:59,102
15:40:04,99
15:40:09,98
15:40:24,98
15:40:29,97
15:40:44,98
15:40:49,96
15:40:54,91
15:40:59,90
15:41:14,90
15:41:19,92
15:41:24,93
15:41:34,94
15:41:39,93
15:41:44,92
15:41:49,91
15:42:04,91
15:42:09,96
15:42:14,95
15:42:19,94
15:42:24,95
15:42:39,95
15:42:45,102
15:42:50,106
15:42:55,107
